image,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,UNK,label
ISIC_2019_Training_Input/ISIC_0016017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0012998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0028507,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0065501,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0015955,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0012359,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0016046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0010370,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0032694,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0068195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0070187,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0014952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0068877,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0030725,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0059494,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0064211,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0003174,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0029981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0031109,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0063890,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0058993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0068329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC_2019_Training_Input/ISIC_0070840,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
